Periodo,USD/CLP,11 month expected MPR,Ex-Ante Real Rate,M1,M2,REER,Oil Price,Core CPI M/M_sa,Overall PPI_sa,Manufacturing PPI_sa,Mining PPI_sa,Utilities PPI_sa,Agri PPI_sa,IMACEC Total_sa,IMACEC Production of Goods_sa,IMACEC Commerce_sa,IMACEC Services_sa,IMACEC Factor Cost_sa,Real Wage Growth m/m_sa,Labor Cost m/m_sa,Nominal Wage Growth m/m_sa,Unemployment Rate_sa,Headline CPI_sa
2015-12-01,0.0,3.75,-0.15,0.058,0.016,0.016,-0.141,0.3860432385801985,-0.009217712944828458,0.010326285593457293,-0.029497958905844904,-0.0011127847089106215,0.024007830889900997,0.0021408440157224644,0.00029732727294405625,0.016321789409435242,0.0038918137438290097,0.002875825270182368,0.16028101544203432,0.47378566150936785,0.37715027505402365,6.447047353618735,0.2495234517879252
2016-01-01,0.025,4.0,0.0,0.022,0.011,-0.014,-0.185,0.3085967517936242,-0.01431234777271477,-0.0017867674620888443,-0.024516701438538336,-0.01842742471938573,0.01878176010463148,0.001721051796899839,0.002374775255271952,-0.006479968446077566,0.0024079605899784834,0.0015881215133595264,-0.11880030609197467,0.5294666823969176,0.3681033682947169,6.322544095449933,0.47195904452536996
2016-02-01,-0.025,3.75,0.1,-0.017,-0.0,0.001,0.047,0.393152197619475,-0.003822730300913771,0.005968656916639439,-0.010105165726865678,0.013621522673580196,0.012306440064129481,0.003711202936073091,0.008545964629981515,-0.0008209772196572929,0.006787230965011312,0.0050334578168738375,0.37129849424161265,1.075729031430745,0.9883255547343937,6.296077638695332,0.42733859704593957
2016-03-01,-0.031,3.75,0.2,-0.028,0.002,-0.02,0.186,0.2792671830177692,0.005789779697577993,-0.00651809692419055,0.013466553020206645,0.03761969738796074,0.01508430890372529,0.026300383936488717,0.0457665186308667,0.03902551652225459,0.007288932754512839,0.02301408390784603,0.046029766787920146,0.3764111742641531,0.3156144500265998,6.26858060723828,0.2800331404598773
2016-04-01,-0.018,3.75,0.2,0.002,0.008,-0.02,0.077,0.34229890724820144,0.004829013353310405,-0.004827848893038575,0.011428278393322201,0.009203179892844592,-0.011089201517118615,-0.016628987659037017,-0.026643565634541636,-0.03182750798284875,0.002924990227983343,-0.013813275904227873,0.30791357813956355,0.5233913547536495,0.431455178362135,6.468028253408319,0.17224698926243506
2016-05-01,0.018,3.75,0.3,-0.0,0.002,-0.002,0.129,0.22259288381030867,0.000295062323249504,0.004953297960160009,-0.005167958839550971,0.004229782303945153,-0.012057179692849439,-0.006137263847440538,-0.03220017665093294,-0.0022369675722677153,0.003022420617240521,-0.008642334509825746,0.003541511173199674,-0.15316077410921528,0.2863356290733126,6.648917279280818,0.1631124088528886
2016-06-01,-0.001,3.75,0.3,0.007,0.007,0.018,0.031,0.3584471680002022,-0.0040209042592049705,0.006827085474932442,-0.01486231533918056,0.004974215205003433,0.008409069529401184,0.0038468786693219422,0.009419015787465674,-0.007639079739897473,0.005340168848090966,0.005071488999359352,0.13861598398286973,0.47052995539093484,0.377712043884373,6.7626308481349175,0.25397359155431576
2016-07-01,-0.035,3.5,0.4,-0.018,0.0,0.001,-0.068,0.419114384354433,0.0012341784533510397,0.003616590558152606,-0.00024692849325688715,-0.010612892256133297,0.009283792358901073,0.002407177111157517,0.0035825783168880743,0.007827942677211222,0.0045516313650639595,0.0025434105198738483,0.08103668382028867,0.6282586069465956,0.5531430089698549,6.743912433633601,0.3704265275377271
2016-08-01,0.002,3.5,0.5,-0.012,0.002,-0.04,0.019,0.29939618694256764,-0.005092722452466908,-0.0038463847840987794,-0.013957591863009499,0.005561227834763543,-0.020959537149064247,0.0010958795076691369,-0.003522711947942715,0.01076171979116318,0.003338712344416253,-0.00013270462394261717,-0.1611607260406824,0.1752851491988638,-0.061450939687271444,6.909020415141363,0.1928299382314507
2016-09-01,0.015,3.5,0.5,0.01,0.013,0.009,0.018,0.12835217070124694,-0.005630644663382477,0.004420705263300939,-0.000695496257642994,-0.022833140788219537,0.021295289673088958,0.009347191900203472,0.022828301329589604,0.0060436026568036726,0.008851749482538723,0.012191931197896091,0.6347638332045472,0.6484887849408891,0.6754984626575982,6.813822247587479,0.049529069467317416
2016-10-01,-0.007,3.25,0.5,-0.005,0.01,0.012,0.065,0.05271108493842619,-0.0023488252356262964,0.0031108155339287435,-0.01306786131764464,0.004521218882662587,0.006316918192785889,0.003692959007897352,0.003858090281794794,0.019209335789908532,0.0013485555428902618,0.0007501587721871934,0.014062143442326078,0.39262906884340076,0.31078264853183707,6.858605372623531,0.05260209069274402
